user_id_id	last_sub	total_points	rank	tries
facebook|10154742852921946	2017-09-26 19:07:39.944207	0	254	510510
facebook|10155827190126979	2017-09-26 04:27:39.065335	0	185	510510
facebook|10207636158620369	2017-09-26 04:56:50.812770	0	189	510510
facebook|10207873074823608	2017-09-27 15:50:00.076310	0	295	510510
facebook|10209489612429312	2017-09-25 14:46:16.510295	0	100	510510
facebook|10210207914782774	2017-09-26 16:32:14.039038	0	242	510510
facebook|10210950336534201	2017-10-08 09:38:44.400453	0	598	510510
facebook|10212044605009073	2017-10-03 01:30:42.448300	0	502	510510
facebook|10212130851040082	2017-09-25 15:30:45.008208	0	122	510510
facebook|10212673766626661	2017-09-30 14:57:47.083880	0	439	510510
facebook|10212966380546012	2017-09-25 18:50:45.226434	0	169	510510
facebook|10215448598594939	2017-09-27 04:28:15.238844	0	264	510510
facebook|102809347140496	2017-09-30 03:39:43.231882	0	416	510510
facebook|1052201004882887	2017-09-26 10:50:30.728471	100	27	170170
facebook|1064807973621814	2017-09-29 14:01:04.087060	0	399	510510
facebook|1067364066700561	2017-10-01 14:11:26.427884	0	457	510510
facebook|107064176710056	2017-09-25 14:24:04.017060	0	86	510510
facebook|1081269228676112	2017-09-30 06:16:55.571324	100	42	170170
facebook|1083475978422691	2017-10-02 16:57:12.497858	0	497	510510
facebook|1099049840229090	2017-09-28 01:59:48.961063	0	323	510510
facebook|1101632906633619	2017-09-25 15:00:25.195344	0	107	510510
facebook|1103386386464139	2017-10-03 11:14:58.974698	0	511	510510
facebook|1114108388719522	2017-09-29 15:52:39.513240	0	407	510510
facebook|1116068941856370	2017-10-04 16:18:40.933996	0	561	510510
facebook|1129033480545195	2017-09-30 09:06:24.516335	0	426	510510
facebook|1148691071929756	2017-10-02 09:39:20.853740	0	480	510510
facebook|1182158965261793	2017-09-26 10:47:12.372085	0	201	510510
facebook|1212338765538167	2017-09-29 14:07:32.127639	0	400	510510
facebook|1229862083785689	2017-10-04 10:47:56.954411	0	544	510510
facebook|124191538308153	2017-09-25 16:13:56.738818	0	137	510510
facebook|1279740778804716	2017-09-26 16:00:00.811343	0	241	510510
facebook|1287324938044862	2017-09-27 13:27:53.561938	0	281	510510
facebook|1294596594001736	2017-10-03 13:33:36.935343	0	518	510510
facebook|1310234012437445	2017-09-26 11:35:26.510730	0	207	510510
facebook|1310304275747746	2017-09-27 16:09:09.875016	0	303	510510
facebook|1329012520558649	2017-10-01 15:30:36.344495	0	465	510510
facebook|134967940467336	2017-09-28 14:51:53.611266	0	352	510510
facebook|1350673361708576	2017-10-04 17:19:35.654247	0	566	510510
facebook|135168230552384	2017-09-26 08:32:06.940037	0	198	510510
facebook|1367927186639710	2017-10-04 16:05:25.132963	0	559	510510
facebook|1373457776100582	2017-09-25 17:33:15.698095	0	157	510510
facebook|1385341878250322	2017-09-25 14:42:17.297480	0	96	510510
facebook|1405971512851099	2017-09-28 01:52:00.810239	0	321	510510
facebook|1415469015226721	2017-09-26 14:40:57.240782	0	231	510510
facebook|1416511581803187	2017-09-26 14:06:07.422618	250	5	34034
facebook|1419430424839316	2017-09-26 00:48:41.529055	0	178	510510
facebook|1419616674813236	2017-09-29 12:44:23.911226	0	394	510510
facebook|1420634698056345	2017-09-27 17:57:34.258186	0	314	510510
facebook|1422715454502895	2017-09-26 02:22:35.469446	100	26	170170
facebook|1425110150919410	2017-10-02 02:34:28.466127	0	472	510510
facebook|1425485990822049	2017-09-25 18:29:06.985370	0	165	510510
facebook|1426052294175310	2017-09-28 17:24:59.746429	0	361	510510
facebook|1429957473766573	2017-09-26 11:20:31.548787	0	206	510510
facebook|1433634870006104	2017-09-27 02:29:28.681219	100	33	170170
facebook|1444356958952424	2017-09-25 16:17:18.584877	100	20	170170
facebook|1446500162103638	2017-09-29 15:01:45.674066	0	403	510510
facebook|1447270452030083	2017-10-04 15:30:52.154304	0	555	510510
facebook|1449816565108791	2017-09-25 15:04:53.423719	0	110	510510
facebook|1450362098383076	2017-10-02 14:50:15.075213	0	487	510510
facebook|1452852318138119	2017-09-27 17:59:04.228132	0	315	510510
facebook|1455906841152693	2017-09-25 14:33:48.669886	0	89	510510
facebook|1459902644103125	2017-09-25 14:13:49.136577	0	83	510510
facebook|1460696237342071	2017-10-03 11:20:14.523993	0	512	510510
facebook|1461723983911121	2017-10-04 10:04:44.858386	0	542	510510
facebook|1462163237209578	2017-09-27 15:39:27.400587	0	293	510510
facebook|1463024297096050	2017-09-27 16:02:52.737830	0	300	510510
facebook|1465808540165049	2017-09-26 07:12:55.768655	0	195	510510
facebook|1465962073496679	2017-09-26 16:56:13.005782	0	244	510510
facebook|1466345950108566	2017-09-26 13:20:18.580731	0	216	510510
facebook|1466408736770854	2017-10-07 07:44:32.278231	0	592	510510
facebook|1467555746667341	2017-09-27 16:47:39.657908	0	308	510510
facebook|1468015853283709	2017-09-28 13:46:52.831454	0	343	510510
facebook|1468553889848515	2017-09-27 15:54:29.163435	0	297	510510
facebook|1473037509456249	2017-10-02 17:06:07.287487	0	499	510510
facebook|1474054359315012	2017-09-29 13:56:28.479982	0	398	510510
facebook|1477310612382461	2017-10-01 17:12:50.471453	0	470	510510
facebook|1477626848995455	2017-09-30 07:40:22.038225	0	425	510510
facebook|1479863488788562	2017-09-26 04:35:10.860155	0	186	510510
facebook|1481497941947030	2017-09-27 16:04:15.735209	0	302	510510
facebook|1482316978519503	2017-10-02 12:10:17.345198	0	483	510510
facebook|1483748991717450	2017-10-05 18:07:42.662448	0	582	510510
facebook|1491866000905691	2017-09-26 09:10:22.540815	0	199	510510
facebook|1493215380772106	2017-09-28 14:13:30.205054	0	345	510510
facebook|1495087903893299	2017-09-25 13:30:43.875071	0	54	510510
facebook|1501039976655713	2017-10-06 01:12:20.596269	0	583	510510
facebook|1501425103271445	2017-09-25 13:43:43.479194	0	60	510510
facebook|1505180656231138	2017-09-26 01:37:43.127924	0	179	510510
facebook|1505856822831924	2017-09-26 06:44:11.550936	0	192	510510
facebook|1508342115923794	2017-10-03 04:10:55.328029	0	505	510510
facebook|1508426132571735	2017-10-03 04:36:40.335954	0	507	510510
facebook|1522457121195850	2017-09-25 13:59:32.079626	0	73	510510
facebook|1527188787369227	2017-10-04 05:52:28.083942	0	533	510510
facebook|1527999753959703	2017-10-03 12:29:21.672677	0	513	510510
facebook|1529401550453925	2017-09-25 14:16:09.867931	100	11	170170
facebook|1533402436735543	2017-09-27 04:25:26.053650	0	263	510510
facebook|1538703709525670	2017-09-25 13:26:13.905905	0	49	510510
facebook|1543281439062983	2017-09-26 14:57:45.774072	0	232	510510
facebook|1543799492324881	2017-09-27 18:01:23.299363	100	37	170170
facebook|1562351547157117	2017-09-29 09:58:31.686382	0	389	510510
facebook|1563002837100699	2017-09-28 12:54:48.250850	0	340	510510
facebook|1563717850354050	2017-09-25 14:46:12.515733	0	99	510510
facebook|1564077183649214	2017-10-13 04:42:36.905279	0	604	510510
facebook|1568097199921067	2017-10-08 09:31:36.963316	0	597	510510
facebook|1575368812530377	2017-09-28 19:27:55.864663	0	365	510510
facebook|1579738102090190	2017-09-30 14:31:46.168508	0	438	510510
facebook|1587578551300057	2017-09-25 18:39:39.609512	0	166	510510
facebook|1601454113227436	2017-10-03 10:03:48.362296	0	509	510510
facebook|1605040429518286	2017-09-25 13:56:06.223376	0	69	510510
facebook|1605504222839766	2017-09-28 17:03:33.101234	0	359	510510
facebook|1606499092746674	2017-09-29 19:25:52.554578	0	413	510510
facebook|1611501805578714	2017-09-25 18:23:43.432574	0	163	510510
facebook|1614637508595619	2017-09-26 11:35:09.745352	100	28	170170
facebook|1635478919830819	2017-09-27 16:15:45.647267	0	304	510510
facebook|1643965895677499	2017-09-27 14:31:10.185147	0	287	510510
facebook|1645801335484067	2017-09-25 15:35:05.223994	0	125	510510
facebook|1646618858689875	2017-10-03 12:42:57.046038	0	514	510510
facebook|1653758391358246	2017-10-01 07:50:05.784405	0	451	510510
facebook|1656180407788649	2017-09-25 15:45:32.610073	0	129	510510
facebook|1656949587683685	2017-09-29 12:00:11.501889	0	393	510510
facebook|1658837327522522	2017-09-26 07:10:46.190905	0	194	510510
facebook|1659597974070984	2017-09-26 05:10:12.256743	0	190	510510
facebook|166489320573110	2017-09-25 17:09:47.734874	100	25	170170
facebook|1669833826423130	2017-09-25 14:14:19.054490	0	84	510510
facebook|1675813432438392	2017-09-27 08:26:28.805447	0	268	510510
facebook|1676754782420830	2017-09-27 09:12:23.580242	0	271	510510
facebook|1676866899053860	2017-09-26 06:46:46.976615	0	193	510510
facebook|1688627557875375	2017-10-03 16:42:30.593876	0	527	510510
facebook|1701449929867365	2017-09-25 16:04:58.466752	0	134	510510
facebook|1703941383014585	2017-10-01 12:07:44.076673	0	455	510510
facebook|1710821012293267	2017-09-30 11:24:22.521826	0	429	510510
facebook|1719931058302986	2017-10-04 15:09:59.109626	0	552	510510
facebook|1731607780215277	2017-10-02 17:01:01.414704	0	498	510510
